Surface,Court,ranking_diff,AvgW,AvgL,win
Grass,Outdoor,37,2.92,1.38,0
Grass,Outdoor,-4,2.14,1.68,1
Grass,Outdoor,-3,1.54,2.41,0
Grass,Outdoor,20,2.23,1.62,1
Grass,Outdoor,79,4.67,1.18,1
Grass,Outdoor,85,4.01,1.23,0
Grass,Outdoor,-38,1.94,1.81,0
Grass,Outdoor,-41,2.5,1.52,0
Grass,Outdoor,-22,2.17,1.65,0
Grass,Outdoor,-53,3.34,1.31,0
Grass,Outdoor,-58,1.01,19.73,1
Grass,Outdoor,90,2.95,1.38,0
Grass,Outdoor,129,2.57,1.48,0
Grass,Outdoor,173,4.66,1.18,0
Grass,Outdoor,32,2.55,1.49,0
Grass,Outdoor,86,4.7,1.17,0
Grass,Outdoor,33,1.83,1.9,1
Grass,Outdoor,-286,1.41,2.81,1
Grass,Outdoor,10,1.19,4.45,1
Grass,Outdoor,-47,1.12,5.84,0
Grass,Outdoor,65,2.8,1.41,0
Grass,Outdoor,-62,1.24,3.95,1
Grass,Outdoor,-43,1.22,4.1,1
Grass,Outdoor,-47,1.51,2.49,0
Grass,Outdoor,149,5.59,1.13,0
Grass,Outdoor,27,1.35,3.04,1
Grass,Outdoor,-48,1.21,4.13,1
Grass,Outdoor,46,1.32,3.23,1
Grass,Outdoor,-68,1.07,7.69,1
Grass,Outdoor,-47,1.74,2.02,0
Grass,Outdoor,41,3.02,1.36,1
Grass,Outdoor,-59,1.63,2.22,1
Grass,Outdoor,86,14.36,1.02,0
Grass,Outdoor,-65,1.13,5.61,1
Grass,Outdoor,133,14.34,1.02,0
Grass,Outdoor,-23,1.09,7.14,1
Grass,Outdoor,-26,1.38,2.92,1
Grass,Outdoor,-87,1.36,3.05,0
Grass,Outdoor,-62,2.4,1.54,1
Grass,Outdoor,28,1.66,2.16,1
Grass,Outdoor,68,1.14,5.43,1
Grass,Outdoor,-51,1.38,2.94,1
Grass,Outdoor,-206,1.2,4.37,1
Grass,Outdoor,-40,2.42,1.54,0
Grass,Outdoor,-151,1.12,5.97,1
Grass,Outdoor,-51,1.58,2.31,0
Grass,Outdoor,42,2.4,1.54,1
Grass,Outdoor,-2,1.87,1.86,0
Grass,Outdoor,134,4.46,1.19,0
Grass,Outdoor,-18,1.61,2.23,1
Grass,Outdoor,-68,1.37,2.96,1
Grass,Outdoor,167,2.5,1.51,0
Grass,Outdoor,-188,1.02,13.52,1
Grass,Outdoor,174,4.81,1.17,0
Grass,Outdoor,48,3.38,1.3,1
Grass,Outdoor,-54,1.4,2.83,1
Grass,Outdoor,17,3.47,1.28,0
Grass,Outdoor,35,3.91,1.23,0
Grass,Outdoor,-86,1.02,14.4,1
Grass,Outdoor,-67,1.41,2.78,1
Grass,Outdoor,-66,1.14,5.5,1
Grass,Outdoor,-71,1.05,9.53,0
Grass,Outdoor,-23,2.69,1.44,0
Grass,Outdoor,-46,1.83,1.91,0
Grass,Outdoor,128,1.77,1.98,0
Grass,Outdoor,2,3.12,1.34,0
Grass,Outdoor,-5,1.9,1.84,1
Grass,Outdoor,129,2.09,1.7,0
Grass,Outdoor,-26,1.42,2.77,1
Grass,Outdoor,-12,1.62,2.24,1
Grass,Outdoor,14,1.32,3.28,0
Grass,Outdoor,30,4.24,1.21,0
Grass,Outdoor,68,3.92,1.24,0
Grass,Outdoor,126,2.4,1.54,0
Grass,Outdoor,-49,1.21,4.2,1
Grass,Outdoor,-51,1.09,6.93,1
